Year,Agriculture land
2016,368440
2015,362020
2014,362520
2013,362800
2012,360630
2011,359360
2010,352420
2009,352770
2008,353130
2007,360130
2006,361350
2005,359650
2004,360450
2003,368420
2002,368840
2001,369720
2000,366980
1999,367560
1998,367600
1997,366690
1996,361720
1995,360260
1994,357900
1993,357500
1992,353800
1991,352700
1990,352060
1989,358600
1988,353470
1987,366710
1986,355710
1985,371180
1984,375000
1983,364090
1982,385090
1981,365040
1980,374160
1979,363370
1978,364170
1977,359130
1976,357120
1975,360350
1974,357400
1973,364000
1972,355050
1971,354850
1970,358650
1969,357000
1968,371700
1967,374700
1966,374150
1965,372350
1964,363550
1963,358800
1962,358400
1961,357300
